formula_pretty,avg_atomic_number,avg_electronegativity,valence_electron_count,fraction_transition_metals,nelements,density,volume,nsites,crystal_system,spacegroup_number,point_group,formation_energy_per_atom,energy_above_hull,band_gap
Rb2U(PtSe2)3,50.33333333,2.096666667,10.91666667,0.25,4,6.998436413,696.6219881,24,Orthorhombic,69,mmm,-1.085893723,0,0
V4C3,15.71428571,2.024285714,8.857142857,0.571428571,2,5.730003925,69.49281682,7,Trigonal,160,3m,-0.495102619,0.119646789,0
PaTiTc2,49.75,1.71,5.25,0.75,3,11.30684336,69.7449111,4,Cubic,225,m-3m,-0.361548777,0,0
Ti4Al11Ni,16.1875,1.61125,10.5625,0.3125,3,3.650526568,248.798536,16,Tetragonal,99,4mm,-0.39525708,0.052130194,0
Mg(CuO2)4,14.76923077,2.802307692,13.38461538,0.307692308,3,4.647838006,145.2251333,13,Cubic,216,-43m,-1.018522745,0.113782087,0
YbPaIr2,78.75,1.75,6,0.5,3,16.38952931,79.88950964,4,Cubic,225,m-3m,-0.857215429,0.223859269,0
Sr4RuN4,24.88888889,2.017777778,8.444444444,0.111111111,3,5.091729896,331.0666995,18,Triclinic,2,-1,-0.598389018,0.112285461,0
Co2NiO6,14.44444444,2.923333333,13.77777778,0.333333333,3,4.56096836,198.4623289,18,Orthorhombic,64,mmm,-0.938489987,0.050460871,0
CaBi2O5,28.25,2.78,14,0,3,5.578207718,320.3285035,16,Orthorhombic,63,mmm,-1.780647605,0.19669399,0
MnZn(GeO3)2,16.7,2.786,14.3,0.2,4,4.746227757,506.0775745,40,Monoclinic,14,2/m,-2.044003002,0.036688888,0
NiO2,14.66666667,2.93,14,0.333333333,2,4.677997362,386.3138762,36,Trigonal,156,3m,-0.526422326,0.287716617,0
CrB,14.5,1.85,9.5,0.5,2,6.356212422,65.63257254,8,Tetragonal,141,4/mmm,-0.410764251,0,0
NaNd2IrO6,25.6,2.605,11.2,0.1,4,7.468347961,266.6731592,20,Monoclinic,14,2/m,-2.62129726,0.005412504,0
Ti2FeSe4,29.42857143,2.158571429,11.42857143,0.428571429,3,5.712290192,543.5070585,28,Trigonal,164,-3m,-1.148945211,0.073636186,0
FeSnO6,15.5,3.05375,14.75,0.125,3,3.937108617,114.1094171,8,Cubic,225,m-3m,-0.672434416,0.651337384,0
MnVN2,15.5,2.315,10.5,0.5,3,5.417518296,41.03991049,4,Trigonal,160,3m,-0.665467957,0.174102295,0
Mo8O23,16.77419355,3.109677419,13.41935484,0.258064516,2,4.057130275,929.5005472,62,Monoclinic,13,2/m,-1.931281323,0.003938276,0.3371
Li3V2(CO3)4,8.333333333,2.746666667,12.42857143,0.095238095,4,2.540933917,474.1143355,42,Monoclinic,4,2,-2.074100639,0.087756936,0.4142
SnSb,50.5,2.005,14.5,0,2,6.854921113,58.25155721,2,Tetragonal,123,4/mmm,0.109661245,0.109661245,0
UHg3,83,1.845,9.75,0.75,2,14.70084043,94.8598078,4,Hexagonal,187,-6m2,0.159286731,0.159286731,0
CeIn2Pd3,49,1.88,9.833333333,0.5,3,9.545853741,479.4254655,24,Orthorhombic,62,mmm,-0.671081088,0,0
Na2ScSiO5,10.77777778,2.48,11,0.111111111,4,2.937991338,899.8721749,72,Orthorhombic,29,mm2,-2.835659042,0.061997303,0
LaAs,45,1.64,9,0.5,2,6.884688263,51.57360648,2,Tetragonal,123,4/mmm,-1.477558754,0.370016605,0
MnSnRu2,40.75,1.9775,9.25,0.75,3,10.41659191,59.90545997,4,Cubic,225,m-3m,-0.227357654,0,0
NaPrCr4O12,14.55555556,2.776666667,12.22222222,0.222222222,4,4.342694297,215.6117309,18,Tetragonal,123,4/mmm,-1.87249198,0.305411624,0
Cs2GeTe4,50,1.712857143,11.42857143,0,3,4.838274021,1165.332994,28,Orthorhombic,62,mmm,-0.820066914,0,0.538
Li19La12Zr8O48,16.6091954,2.385977011,9.827586207,0.229885057,4,4.842793607,1130.335194,87,Tetragonal,82,-4,-3.041729758,0.093175427,0.0115
Al2O,11.33333333,2.22,14,0,2,2.52064892,46.0894914,3,Cubic,225,m-3m,-0.141534848,1.762104601,0
CsCa(SeO4)3,16.05882353,2.983529412,14.29411765,0,4,3.285195246,608.4300894,34,Monoclinic,11,2/m,-1.327013621,0.106879483,0
MgTi3,19.5,1.4825,3.5,0.75,2,3.775663732,73.84515474,4,Cubic,225,m-3m,0.228289076,0.228289076,0
BeIn3,37.75,1.7275,10.25,0,2,6.382623442,91.95974183,4,Tetragonal,139,4/mmm,0.461126501,0.461126501,0
Pr3(ZnAs3)2,39.54545455,1.797272727,11.18181818,0.181818182,3,6.216217967,535.9007177,22,Monoclinic,11,2/m,-0.581182191,0.293695189,0
PuCu6,38.28571429,1.811428571,9.857142857,0.857142857,2,10.2280961,406.0561085,28,Orthorhombic,62,mmm,0.049379241,0.049379241,0
CeMgCd2,41.5,1.4525,7.25,0.5,3,6.504860083,99.36465959,4,Cubic,225,m-3m,-0.202599081,0,0
Ca2As,24.33333333,1.393333333,6.333333333,0,2,3.130575688,164.5144145,6,Tetragonal,139,4/mmm,-1.110494664,0.047128736,0
Sr(ZnAs)2,32.8,1.722,11.2,0.4,3,5.464223645,111.9180619,5,Trigonal,164,-3m,-0.663726355,0,0.254
P3RuO9,12.38461538,3.056153846,15.15384615,0.076923077,3,3.31172746,338.9401903,26,Monoclinic,15,2/m,-2.27194884,0.020777354,0
YTiO3,17,2.616,11,0.4,3,5.200236792,59.00107229,5,Cubic,221,m-3m,-3.358017142,0.30271702,0
V4Os,33.6,1.744,5.6,1,2,9.575172701,68.32730547,5,Orthorhombic,69,mmm,-0.156737126,0.178366098,0
Tl(TeMo)3,51.85714286,2.057142857,11.28571429,0.428571429,3,7.786654371,373.1967785,14,Hexagonal,176,6/m,-0.287510241,0.114507831,0
Ba2MgCuWO6,25,2.544545455,10.81818182,0.181818182,5,5.73875329,185.8649318,11,Monoclinic,12,2/m,-2.280799592,0.403949753,0.8854
Er3ReB7,28.54545455,1.809090909,9.727272727,0.090909091,3,9.916011773,255.7659174,22,Orthorhombic,63,mmm,-0.647686447,0,0
UAs,62.5,1.78,9,0,2,12.05657618,43.10233186,2,Cubic,221,m-3m,-1.015469989,0.1300241,0
Eu3AuO6,31.6,2.678,11.6,0.1,3,8.639691724,143.9290858,10,Triclinic,2,-1,-2.540529373,0.157813394,0
Li5Co2O2F5,9.285714286,2.531428571,10,0.142857143,4,3.688174201,125.8682316,14,Tetragonal,139,4/mmm,-2.534619144,0.089302536,0.0002
Zn13Co,29.78571429,1.666428571,11.78571429,1,2,7.767907608,194.3696483,14,Monoclinic,12,2/m,-0.040924318,0,0
Ba8LiNb7O24,23.25,2.5465,10.9,0.175,4,6.085644565,583.8931859,40,Trigonal,156,3m,-3.173765337,0.018927002,0
Y5(Ge5Os2)2,43.10526316,1.842105263,9.842105263,0.473684211,3,8.748730496,733.3432323,38,Tetragonal,127,4/mmm,-0.615750331,0,0
Li2CoOF3,9.714285714,2.745714286,11.14285714,0.142857143,4,3.250537662,148.974048,14,Monoclinic,5,2,-2.420313972,0.119715768,0.9577
NbSe2,36.33333333,2.233333333,12.33333333,0.333333333,2,5.951284779,69.98606492,3,Trigonal,164,-3m,-0.931772326,0.051671132,0
Sr4MgMn2(GaO5)2,18.73684211,2.433157895,11.05263158,0.105263158,5,4.629610728,281.2397346,19,Orthorhombic,69,mmm,-2.596804962,0.106515331,0
Eu3(SF2)2,28.55555556,2.742222222,12.11111111,0,3,6.390877134,154.8624999,9,Tetragonal,139,4/mmm,-3.340143579,0,0
Ho(SiPd)2,37.4,1.886,10.2,0.4,3,8.562398089,84.15592303,5,Tetragonal,139,4/mmm,-0.907235997,0,0
Tb6Ta4Al43,23.41509434,1.543962264,11.26415094,0.075471698,3,5.027308527,1874.506901,106,Hexagonal,193,6/mmm,-0.341266442,0,0.0244
CoNi,27.5,1.895,9.5,1,2,9.006848177,21.68611621,2,Orthorhombic,65,mmm,0.107644065,0.123119852,0
MnAu4,68.2,2.342,10.2,1,2,15.77549846,88.71412234,5,Trigonal,166,-3m,-0.126533251,0.112884138,0
K2BaV2ClO7,16.38461538,2.540769231,11,0.153846154,5,3.322801345,464.614325,26,Hexagonal,194,6/mmm,-2.384004708,0.143171619,0
Cr2CuO4,15.57142857,2.711428571,12.42857143,0.428571429,3,5.108807552,150.5142785,14,Tetragonal,141,4/mmm,-1.936370316,0.023419503,0
La2(N4O9)3,10.09756098,3.208780488,15.07317073,0.048780488,3,2.303494094,2531.364798,164,Cubic,213,432,-0.704518596,0.461398394,0
Li3V2(OF)4,9.461538462,2.76,11.15384615,0.153846154,4,2.923143218,149.229426,13,Monoclinic,6,m,-2.726492889,0.088686661,0
Rb3Ta,46,0.99,2,0.25,2,3.391651285,214.1254584,4,Tetragonal,139,4/mmm,1.45552369,1.45552369,0
Na3TaF6,16,2.817,11,0.1,3,3.821598518,158.123046,10,Cubic,225,m-3m,-2.765995335,0.333256154,0
Tb5Ir2,68.42857143,1.414285714,4.714285714,0.285714286,2,10.54458421,371.3520415,14,Monoclinic,15,2/m,-0.638593789,0,0
Rb6Mo27S31,28.9375,2.2378125,10.375,0.421875,3,4.783027589,2844.877445,128,Trigonal,167,-3m,-1.023770602,0.01216081,0
RbBeN3,12.4,2.302,9.6,0,3,2.015480684,1799.381918,80,Orthorhombic,61,mmm,0.854925659,1.347948162,0
Th(SiPd)2,42,1.9,10.2,0.4,3,9.319570029,89.27574296,5,Tetragonal,139,4/mmm,-0.96506371,0,0
MgTiF5,11.28571429,3.25,13,0.142857143,3,3.056601115,363.2562688,28,Monoclinic,14,2/m,-3.650331576,0.082737205,0.3184
Mn4SbAs,30.66666667,1.738333333,9.666666667,0.666666667,3,7.615365043,90.80386251,6,Tetragonal,99,4mm,0.008092433,0.138567443,0
V2TcRu,33.25,1.84,6.25,1,3,9.256192656,53.99025629,4,Cubic,225,m-3m,-0.376946579,0,0
Tl2Pt2O7,34,2.898181818,14.36363636,0.181818182,3,11.38538928,265.7152037,22,Cubic,227,m-3m,-1.149196038,0,0.6958
ThGaNi,49.66666667,1.673333333,8.666666667,0.333333333,3,10.50326912,170.9606902,9,Hexagonal,189,-6m2,-0.639901276,0,0
GeC,19,2.28,14,0,2,6.659834984,21.10649809,2,Cubic,225,m-3m,1.271791284,1.271791284,0
NdAs3,39.75,1.92,12,0,2,6.93112446,88.40559865,4,Tetragonal,139,4/mmm,-0.657691258,0.232896002,0
Ba2TmMgRuO6,25.90909091,2.470909091,10.27272727,0.090909091,5,6.529183713,169.1163028,11,Trigonal,160,3m,-2.472348767,0.433140938,0
Ca(CuO2)2,15.71428571,2.651428571,12.57142857,0.285714286,3,4.571289237,503.8353219,42,Trigonal,156,3m,-1.472286521,0.237956124,0
Li5Co5(SnO6)2,14.41666667,2.479166667,11.25,0.208333333,4,5.364339568,234.8826143,24,Monoclinic,5,2,-1.764418434,0.062811973,0
GdFe5,32.33333333,1.725,7.166666667,0.833333333,2,8.00473298,90.54440553,6,Hexagonal,191,6/mmm,0.00975087,0.015075332,0
Tb2Mn3Al,36.33333333,1.41,6.666666667,0.5,3,7.637972909,110.8000413,6,Trigonal,166,-3m,0.100093702,0.240025611,0
Ga3Ge,31.25,1.86,13.25,0,2,6.171659739,75.82317781,4,Cubic,221,m-3m,0.087421188,0.087421188,0
ZnC2(N3Cl2)2,11.69230769,2.894615385,15.23076923,0.076923077,4,1.582843256,661.5172694,26,Triclinic,2,-1,0.735155748,1.064948919,0.1566
Mn2CoSb,32,1.7575,9.5,0.75,3,8.973981217,53.7667327,4,Cubic,216,-43m,-0.002062144,0.127506579,0
Nb5V5Si6,25.25,1.721875,8.375,0.625,3,5.995342045,245.8821416,16,Orthorhombic,38,mm2,-0.447695147,0.231141954,0
ZnPb(IO4)6,19.4375,3.203125,16,0.03125,4,4.575361442,514.6434867,32,Triclinic,2,-1,-0.423552176,0.334916556,0
Rb(PRh)2,31.4,1.952,9.8,0.4,3,5.561405121,105.4672511,5,Tetragonal,139,4/mmm,-0.728778243,0,0
RbCu3S2,26,1.946666667,11,0.5,3,5.075857364,222.6125745,12,Monoclinic,12,2/m,-0.61527406,0.006514159,0.4676
Co3P,24,1.9575,10.5,0.75,2,8.002156539,172.4613899,16,Tetragonal,82,-4,-0.257176049,0.047578091,0
EuFe2,38.33333333,1.62,6.333333333,0.666666667,2,7.827329106,223.7329036,12,Hexagonal,194,6/mmm,0.343701286,0.343701286,0
